term,forms,tags
compatible,"compatible, compatibilities, compatibility, compatibles, incompatibilities, incompatibility, incompatible, incompatibly",4k
compel,"compel, compelled, compelling, compellingly, compels",4k
competence,"competence, competences",4k
compile,"compile, compilation, compilations, compiled, compiler, compilers, compiles, compiling",4k
complement,"complement, complementarity, complementary, complemented, complementing, complements",4k
compliance,"compliance, compliances",4k
comply,"comply, compliant, complied, complies, complying",4k
comprehend,"comprehend, comprehended, comprehending, comprehends, comprehension, comprehensions, incomprehension, noncomprehending, uncomprehending, uncomprehendingly",4k
compress,"compress, compressed, compresses, compressibility, compressible, compressing, compression, compressions, compressor, compressors",4k
con,"con, conman, conmen, conned, conning, cons",4k
conceal,"conceal, concealed, concealing, concealment, conceals, unconcealed",4k
concede,"concede, conceded, concedes, conceding",4k
concession,"concession, concessional, concessionary, concessions",4k
confidential,"confidential, confidentiality, confidentially",4k
configure,"configure, configurable, configuration, configurations, configured, configures, configuring",4k
conform,"conform, conformable, conformance, conformances, conformation, conformations, conformed, conformer, conformers, conforming, conformist, conformists, conformities, conformity, conforms, nonconforming, nonconformist, nonconformists, nonconformity, unconformable",4k
congratulate,"congratulate, congratulated, congratulates, congratulating, congratulation, congratulations, congratulatory",4k
congregate,"congregate, congregated, congregates, congregating, congregation, congregational, congregationalism, congregationalist, congregationalists, congregations",4k
conscience,"conscience, consciences",4k
consensus,consensus,4k
consistency,consistency,4k
console,"console, consolation, consolations, consolatory, consoled, consoles, consoling, inconsolable",4k
consolidate,"consolidate, consolidated, consolidates, consolidating, consolidation, unconsolidated",4k
conspiracy,"conspiracy, conspiracies",4k
constituency,"constituency, constituencies",4k
contaminate,"contaminate, contaminated, contaminates, contaminating, contamination, contaminations, uncontaminated",4k
contemplate,"contemplate, contemplated, contemplates, contemplating, contemplation, contemplations, contemplative",4k
contempt,"contempt, contemptible, contempts, contemptuous, contemptuously, contemptuousness",4k
contingent,"contingent, contingencies, contingency, contingently, contingents",4k
contrary,"contrary, contrarily, contrariness, contrariwise",4k
convenience,"convenience, conveniences, inconvenience, inconvenienced, inconveniences, inconveniencing",4k
convenient,"convenient, conveniently, inconvenient, inconveniently",4k
conversion,"conversion, conversions",4k
copper,"copper, coppers, coppery",4k
copyright,"copyright, copyrighted, copyrights",4k
cord,"cord, corded, cording, cordless, cords",4k
corn,corn,4k
corps,corps,4k
costume,"costume, costumes",4k
couch,"couch, couched, couches, couching",4k
counterpart,"counterpart, counterparts",4k
coup,"coup, coups",4k
courtesy,"courtesy, courtesies, discourtesies, discourtesy",4k
credible,"credible, credibilities, credibility, credibly, cred",4k
critique,"critique, critiqued, critiques, critiquing",4k
crude,"crude, crudely, crudeness, cruder, crudest, crudities, crudity",4k
crumble,"crumble, crumbled, crumbles, crumbling, crumbly",4k
crust,"crust, crustal, crusted, crustier, crustiest, crustily, crustiness, crusts, crusty, encrust, encrustation, encrustations, encrusted, encrusting, encrusts",4k
cube,"cube, cu, cubes, cubic, cubical",4k
cult,"cult, cultism, cultist, cultists, cults",4k
cultivate,"cultivate, cultivated, cultivates, cultivating, cultivation, cultivations, cultivator, cultivators, uncultivated",4k
curse,"curse, cursed, curses, cursing",4k
custody,"custody, custodial, custodies",4k
cynical,"cynical, cynic, cynically, cynicism, cynics",4k
dam,"dam, dammed, damming, dams",4k
dash,"dash, dashed, dasher, dashers, dashes, dashing",4k
deadline,"deadline, deadlines",4k
deaf,"deaf, deafen, deafened, deafening, deafeningly, deafens, deafer, deafest, deafness",4k
debut,"debut, debuts, début",4k
decay,"decay, decayed, decaying, decays",4k
decisive,"decisive, decisively, decisiveness, indecisive, indecisively, indecisiveness",4k
deduct,"deduct, deducted, deductibility, deductible, deducting, deduction, deductions, deductive, deductively, deducts",4k
deem,"deem, deemed, deeming, deems",4k
deer,"deer, deers",4k
defect,"defect, defective, defectively, defectiveness, defects",4k
defer,"defer, deference, deferences, deferential, deferentially, deferment, deferments, deferral, deferrals, deferred, deferring, defers",4k
deficiency,"deficiency, deficiencies, deficient",4k
defy,"defy, defiant, defiantly, defied, defies, defying",4k
delicate,"delicate, delicately, indelicate",4k
demography,"demography, demographer, demographers, demographic, demographically, demographics, demographies",4k
depart,"depart, departed, departing, departs",4k
departure,"departure, departures",4k
dependence,"dependence, dependences, interdependence, interdependences",4k
deploy,"deploy, deployed, deploying, deployment, deployments, deploys, redeploy, redeployed, redeploying, redeployment, redeployments, redeploys",4k
deprive,"deprive, deprivation, deprivations, deprived, deprives, depriving",4k
despair,"despair, despaired, despairing, despairingly, despairs",4k
despatch,"despatch, despatched, despatcher, despatchers, despatches, despatching, dispatch, dispatched, dispatcher, dispatchers, dispatches, dispatching",4k
destination,"destination, destinations",4k
destiny,"destiny, destined, destines, destinies, destining",4k
detach,"detach, detachable, detached, detaches, detaching, detachment, detachments, nondetachable",4k
detain,"detain, detained, detainee, detainees, detaining, detainment, detainments, detains",4k
deter,"deter, determent, determents, deterred, deterrence, deterrences, deterrent, deterrents, deterring, deters, undeterred",4k
deteriorate,"deteriorate, deteriorated, deteriorates, deteriorating, deterioration, deteriorations",4k
devil,"devil, devilish, devilishly, devilishness, devilment, devilry, devils",4k
devise,"devise, devised, devises, devising",4k
diabetes,"diabetes, diabetic, diabetics",4k
diagnose,"diagnose, diagnosed, diagnosing, misdiagnose, misdiagnosed, misdiagnosing, undiagnosed",4k
diagnosis,"diagnosis, diagnoses, misdiagnoses, misdiagnosis",4k
diagram,"diagram, diagrammatic, diagrammatically, diagrammed, diagramming, diagrams",4k
dial,"dial, dialed, dialing, dialled, dialling, dials",4k
diameter,"diameter, diameters",4k
diamond,"diamond, diamonds",4k
diary,"diary, diaries, diarist, diarists",4k
dictionary,"dictionary, dictionaries",4k
differentiate,"differentiate, differentiated, differentiates, differentiating, differentiation, undifferentiated",4k
digest,"digest, digested, digestible, digesting, digestion, digestive, digestives, digests, indigestible, undigested",4k
dignity,"dignity, dignities",4k
dilemma,"dilemma, dilemmas",4k
dim,"dim, dimly, dimmed, dimmer, dimmest, dimming, dimness, dims",4k
diminish,"diminish, diminished, diminishes, diminishing, diminution, undiminished",4k
dioxide,"dioxide, dioxides",4k
dip,"dip, dipped, dipper, dippers, dipping, dips",4k
disadvantage,"disadvantage, disadvantaged, disadvantageous, disadvantageously, disadvantages",4k
discard,"discard, discarded, discarding, discards",4k
disclose,"disclose, disclosed, discloses, disclosing, undisclosed",4k
disclosure,"disclosure, disclosures",4k
discourage,"discourage, discouraged, discouragement, discouragements, discourages, discouraging",4k
disguise,"disguise, disguised, disguises, disguising, undisguised",4k
disperse,"disperse, dispersal, dispersals, dispersed, disperses, dispersing, dispersion",4k
displace,"displace, displaced, displacement, displacements, displaces, displacing",4k
dissolve,"dissolve, dissolved, dissolves, dissolving",4k
distort,"distort, distorted, distorting, distortion, distortions, distorts, undistorted",4k
distract,"distract, distracted, distractedly, distracter, distracters, distracting, distractingly, distraction, distractions, distractor, distractors, distracts",4k
distress,"distress, distressed, distresses, distressing, distressingly",4k
dividend,"dividend, divi, dividends",4k
divine,"divine, divination, divinations, divined, divinely, divines, divining, diviner",4k
dock,"dock, docked, docker, dockers, docking, docks",4k
documentary,"documentary, documentaries",4k
dolphin,"dolphin, dolphins",4k
domain,"domain, domains",4k
dome,"dome, domed, domes",4k
donor,"donor, donee, donees, donors",4k
dot,"dot, dots, dotted, dotting",4k
drip,"drip, dripped, dripping, drips",4k
drown,"drown, drowned, drowning, drowns",4k
dual,"dual, dualism, dualisms, dualist, dualistic, dualists, duality",4k
dull,"dull, dulled, duller, dullest, dulling, dullness, dulls, dully",4k
duration,"duration, durations",4k
dwell,"dwell, dwelled, dweller, dwellers, dwelling, dwellings, dwells, dwelt",4k
dynamic,"dynamic, dynamical, dynamically",4k
eagle,"eagle, eagled, eagles",4k
earl,"earl, earldom, earldoms, earls",4k
ecological,"ecological, ecologically",4k
ego,"ego, egoism, egoist, egoistic, egoists, egos, egotist, egotistical, egotistically",4k
elbow,"elbow, elbowed, elbowing, elbows",4k
electron,"electron, electrons",4k
elegant,"elegant, elegantly, inelegant, inelegantly",4k
elementary,elementary,4k
elevate,"elevate, elevated, elevates, elevating, elevation, elevations, elevator, elevators",4k
eligible,"eligible, eligibilities, eligibility, ineligible",4k
embassy,"embassy, embassies",4k
embody,"embody, embodied, embodies, embodiment, embodiments, embodying",4k
emperor,"emperor, emperors",4k
empirical,"empirical, empirically",4k
enact,"enact, enacted, enacting, enactment, enactments, enacts",4k
enclose,"enclose, enclosed, encloses, enclosing, enclosure, enclosures, unenclosed",4k
endeavour,"endeavour, endeavor, endeavored, endeavoring, endeavors, endeavoured, endeavouring, endeavours",4k
endow,"endow, endowed, endowing, endowment, endowments, endows",4k
enlarge,"enlarge, enlargeable, enlarged, enlargement, enlargements, enlarger, enlargers, enlarges, enlarging",4k
enlighten,"enlighten, enlightened, enlightening, enlightenment, enlightenments, enlightens, unenlightened, unenlightening, unenlightens",4k
enrich,"enrich, enriched, enriches, enriching, enrichment, enrichments",4k
enrol,"enrol, enroled, enroling, enroll, enrolled, enrollee, enrollees, enrolling, enrollment, enrollments, enrolls, enrolment, enrolments, enrols, preenrol, preenrolled, preenrolling, preenrollment, preenrollments, preenrols",4k
entity,"entity, entities",4k
entrepreneur,"entrepreneur, entrepreneurial, entrepreneurs, entrepreneurship",4k
envy,"envy, enviable, enviably, envied, envies, envying, unenviable",4k
equity,"equity, equities, inequities, inequity",4k
erect,"erect, erected, erecting, erection, erections, erector, erects",4k
erupt,"erupt, erupted, erupting, eruption, eruptions, eruptive, erupts",4k
escort,"escort, escorted, escorting, escorts, unescorted",4k
essence,"essence, essences",4k
et,et,4k
ethical,"ethical, ethically, unethical, unethically, ethics",4k
evacuate,"evacuate, evacuated, evacuates, evacuating, evacuation, evacuations",4k
eve,"eve, eves",4k
evenly,"evenly, evened, evenness, uneven, unevenly, unevenness",4k
evoke,"evoke, evocation, evocations, evoked, evokes, evoking",4k
exaggerate,"exaggerate, exaggerated, exaggeratedly, exaggerates, exaggerating, exaggeration, exaggerations",4k
excavate,"excavate, excavated, excavates, excavating, excavation, excavations, excavator, excavators",4k
exclaim,"exclaim, exclaimed, exclaiming, exclaims, exclamation, exclamations, exclamatory",4k
exclusion,"exclusion, exclusionary, exclusionist, exclusions",4k
exempt,"exempt, exempted, exempting, exemption, exemptions, exempts, nonexempt",4k
exert,"exert, exerted, exerting, exertion, exertions, exerts",4k
exile,"exile, exiled, exiles, exiling",4k
exit,"exit, exited, exiting, exits",4k
exotic,"exotic, exotically, exoticism, exotics",4k
expedition,"expedition, expeditionary, expeditions",4k
expertise,"expertise, expertises",4k
explode,"explode, exploded, explodes, exploding, unexploded",4k
eyebrow,"eyebrow, eyebrows",4k
faction,"faction, factional, factionalism, factions",4k
